 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  yes,  no,  0,  2065.085,  0.30,  0.30,  0.60,  -0.20,  -0.60,  0.10,  0 
 vs,  no,  no,  1,  2165.205,  0.50,  0.10,  0.60,  -0.32,  -0.70,  -0.22,  0 
 vs,  no,  no,  1,  3030.509,  0.90,  0.20,  0.50,  0.36,  -0.70,  0.56,  0 
 vs,  yes,  yes,  1,  910.099,  0.40,  0.40,  0.60,  -0.31,  -0.60,  0.09,  0 
 vs,  yes,  yes,  1,  2713.627,  0.50,  0.20,  0.60,  0.15,  -0.60,  0.35,  0 
 vs,  yes,  yes,  1,  1029.737,  0.50,  0.25,  0.60,  0.12,  -0.50,  0.38,  0 
 vs,  yes,  yes,  1,  1108.647,  0.20,  0.15,  0.70,  -0.14,  -0.50,  0.01,  0 
 vs,  no,  no,  1,  2727.596,  0.30,  0.25,  0.60,  -0.28,  -0.60,  -0.03,  0 
 vs,  no,  no,  1,  3099.019,  0.50,  0.30,  0.70,  0.10,  -0.50,  0.40,  0 
 vs,  yes,  yes,  1,  871.294,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  1476.130,  0.40,  0.25,  0.70,  0.09,  -0.60,  0.34,  0 
 vs,  no,  no,  1,  2073.160,  0.50,  0.20,  0.60,  0.15,  -0.60,  0.35,  0 
 vs,  yes,  yes,  1,  1918.432,  0.90,  0.20,  0.50,  0.36,  -0.70,  0.56,  0 
 vs,  yes,  yes,  1,  2289.675,  0.40,  0.40,  0.60,  -0.31,  -0.60,  0.09,  0 
 vs,  no,  no,  1,  2398.279,  0.20,  0.00,  0.60,  0.10,  -0.50,  0.10,  0 
 vs,  no,  no,  1,  1613.726,  0.30,  0.00,  0.70,  0.16,  -0.60,  0.16,  0 
 vs,  yes,  yes,  1,  605.425,  0.40,  0.25,  0.70,  0.09,  -0.60,  0.34,  0 
 vs,  yes,  yes,  1,  916.844,  0.60,  0.05,  0.60,  0.30,  -0.70,  0.35,  0 
 vs,  yes,  yes,  1,  1039.065,  0.20,  0.00,  0.60,  0.10,  -0.50,  0.10,  0 
 vs,  no,  no,  1,  2117.328,  0.50,  0.25,  0.60,  0.12,  -0.50,  0.38,  0 
 vs,  yes,  yes,  1,  1192.584,  0.80,  0.05,  0.60,  0.36,  -0.50,  0.41,  0 
 vs,  yes,  yes,  1,  544.883,  0.60,  0.05,  0.60,  0.30,  -0.70,  0.35,  0 
 vs,  no,  no,  1,  2282.996,  0.40,  0.40,  0.50,  -0.33,  -0.60,  0.07,  0 
 vs,  yes,  yes,  1,  1327.675,  0.90,  0.20,  0.50,  0.36,  -0.70,  0.56,  0 
 vs,  yes,  yes,  1,  834.634,  0.50,  0.20,  0.50,  -0.35,  -0.60,  -0.15,  0 
 vs,  yes,  yes,  1,  1504.826,  0.50,  0.10,  0.60,  -0.32,  -0.70,  -0.22,  0 
 vs,  yes,  yes,  1,  1380.540,  0.50,  0.30,  0.60,  -0.40,  -0.60,  -0.10,  0 
 vs,  no,  no,  1,  1429.626,  0.50,  0.10,  0.70,  -0.30,  -0.70,  -0.20,  0 
 vs,  yes,  yes,  1,  2028.586,  0.50,  0.30,  0.60,  -0.40,  -0.60,  -0.10,  0 
 vs,  yes,  yes,  1,  1699.852,  0.50,  0.25,  0.60,  0.12,  -0.50,  0.38,  0 
 vs,  yes,  yes,  1,  743.630,  0.60,  0.10,  0.50,  0.27,  -0.60,  0.37,  0 
 vs,  no,  no,  1,  2145.168,  0.50,  0.30,  0.60,  -0.40,  -0.60,  -0.10,  0 
 vs,  yes,  yes,  1,  1059.768,  0.50,  0.00,  0.70,  0.25,  -0.70,  0.25,  0 
 vs,  no,  no,  1,  2081.356,  0.60,  0.05,  0.60,  0.30,  -0.70,  0.35,  0 
 vs,  no,  no,  1,  1414.610,  0.50,  0.35,  0.60,  -0.43,  -0.60,  -0.08,  0 
 vs,  yes,  yes,  1,  494.338,  0.70,  0.35,  0.60,  0.19,  -0.50,  0.54,  0 
 vs,  no,  no,  1,  1330.362,  0.50,  0.25,  0.60,  -0.38,  -0.70,  -0.12,  0 
 vs,  no,  no,  1,  3029.401,  0.50,  0.25,  0.60,  -0.38,  -0.70,  -0.12,  0 
 vs,  yes,  yes,  1,  924.277,  0.50,  0.30,  0.60,  -0.40,  -0.60,  -0.10,  0 
 vs,  yes,  yes,  1,  1247.107,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  yes,  yes,  1,  813.538,  0.40,  0.40,  0.50,  -0.33,  -0.60,  0.07,  0 
 vs,  yes,  no,  0,  1940.972,  0.40,  0.40,  0.50,  -0.33,  -0.60,  0.07,  0 
 vs,  no,  no,  1,  2310.385,  0.30,  0.30,  0.60,  -0.20,  -0.60,  0.10,  0 
 vs,  yes,  yes,  1,  730.364,  0.50,  0.05,  0.60,  0.23,  -0.60,  0.28,  0 
 vs,  yes,  yes,  1,  1501.129,  0.50,  0.35,  0.60,  0.07,  -0.60,  0.43,  0 
